ANO,MES,ARRECADACAO_ICMS_RJ,CESTA_BASICA_RJ,PETROLEO_PRODUCAO_TOTAL,TOTAL_RECEITA_TRIBUTARIA_RJ,ENERGIA_CONSUMO_TOTAL_SUDESTE
2004.0,3.0,-70862578.0,1.6299999999999955,29.0,-85272821.0,189.0
2004.0,4.0,68107832.0,-1.6399999999999864,-32.0,-11984003.0,597.0
2004.0,5.0,-5034652.0,12.149999999999977,-28.0,-42869274.0,-594.0
2004.0,6.0,94173068.0,2.990000000000009,62.0,113372090.0,-8.0
2004.0,7.0,41152389.0,-12.549999999999983,25.0,17563732.0,195.0
2004.0,8.0,18562139.0,12.669999999999987,-13.0,11526251.0,96.0
2004.0,9.0,-43692896.0,-17.580000000000013,31.0,-50790472.0,404.0
2004.0,10.0,-48856062.0,3.0000000000000284,-21.0,-57796706.0,246.0
2004.0,11.0,67411446.0,1.2699999999999818,-51.0,81079707.0,-35.0
2004.0,12.0,74790100.0,4.22999999999999,49.0,90713790.0,-54.0
2005.0,1.0,125569286.0,-1.7699999999999818,3.0,307598956.0,-233.0
2005.0,2.0,-207465441.0,5.549999999999983,-2.0,-240232374.0,-361.0
2005.0,3.0,-19946508.0,-7.749999999999972,46.0,-45925782.0,360.0
2005.0,4.0,66205292.0,5.9599999999999795,128.0,-5082931.0,787.0
2005.0,5.0,-46417864.0,6.4199999999999875,20.0,-71181886.0,-722.0
2005.0,6.0,-111862405.0,-17.169999999999987,22.0,-137251625.0,52.0
2005.0,7.0,73041152.0,3.9000000000000057,-13.0,69762645.0,-125.0
2005.0,8.0,455461.0,-0.4000000000000057,-52.0,6274388.0,330.0
2005.0,9.0,72287945.0,1.3100000000000023,39.0,64678295.0,553.0
2005.0,10.0,-24086115.0,5.430000000000007,-5.0,-30277055.0,-317.0
2005.0,11.0,109143954.0,9.159999999999997,9.0,117680891.0,14.0
2005.0,12.0,106462181.0,-10.060000000000002,14.0,128820847.0,28.0
2006.0,1.0,8588922.0,-7.069999999999993,3.0,202889844.0,-421.0
2006.0,2.0,-237436764.0,5.099999999999994,2.0,-271890022.0,483.0
2006.0,3.0,23902916.0,-3.740000000000009,-7.0,7396215.0,94.0
2006.0,4.0,-57797956.0,10.889999999999986,56.0,-160101530.0,221.0
2006.0,5.0,116658709.0,-13.679999999999978,1.0,104771040.0,-608.0
2006.0,6.0,27295406.0,2.8700000000000045,-112.0,-3304862.0,84.0
2006.0,7.0,34444468.0,-1.539999999999992,101.0,35656686.0,12.0
2006.0,8.0,11985585.0,0.9399999999999693,-23.0,10102857.0,370.0
2006.0,9.0,96788640.0,12.55000000000004,29.0,93344503.0,82.0
2006.0,10.0,20629595.0,-4.680000000000035,25.0,20503953.0,19.0
2006.0,11.0,-2834706.0,8.920000000000016,6.0,-9727593.0,270.0
2006.0,12.0,92213765.0,-20.04000000000002,21.0,120956073.0,-33.0
2007.0,1.0,-19153671.0,12.880000000000024,-53.0,219099490.0,10.0
2007.0,2.0,-189502488.0,-4.060000000000002,24.0,-236978638.0,-85.0
2007.0,3.0,-34340449.0,13.449999999999989,8.0,-78098651.0,674.0
2007.0,4.0,53563411.0,-25.609999999999985,-32.0,-36768903.0,472.0
2007.0,5.0,-11130248.0,5.150000000000006,-18.0,-53363752.0,-470.0
2007.0,6.0,-54096193.0,3.8899999999999864,63.0,-66163230.0,-401.0
